ts_sec,language,tp
0.0,java,266307524.03481817
1.0,java,275527150.9775136
2.0,java,286446280.8500114
3.0,java,282197810.19625324
4.0,java,284640932.2493166
5.0,java,320641192.1897178
6.0,java,359100072.20768785
7.0,java,366057882.85804385
8.0,java,355223946.7025825
9.0,java,310406241.1044504
10.0,java,329690223.2737541
11.0,java,339357899.91414636
12.0,java,345497990.26280224
13.0,java,338612606.59233993
14.0,java,337477774.9670848
15.0,java,341741900.1167957
16.0,java,341007589.0234881
17.0,java,345621036.3114746
18.0,java,338202038.977674
19.0,java,346231884.3188985
20.0,java,354149281.19888085
21.0,java,356933638.20745385
22.0,java,356331973.17194146
23.0,java,355693685.4276354
24.0,java,353554930.89736646
25.0,java,353913984.060769
26.0,java,356717758.1276519
27.0,java,357375385.053174
28.0,java,358556365.35804397
29.0,java,347919892.87268066
