ts_sec,language,tp
0.0,js,157157538.02624527
1.0,js,62655109.00591143
2.0,js,127246821.70130815
3.0,js,245714458.97096437
4.0,js,241688465.35185677
5.0,js,246417489.22871763
6.0,js,245429982.05547962
7.0,js,248137809.26389226
8.0,js,245882289.80118537
9.0,js,245885862.44979948
10.0,js,247187238.25776044
11.0,js,246157944.83228022
12.0,js,245840014.10188136
13.0,js,243824781.38791457
14.0,js,246242855.523707
15.0,js,243499261.7028511
16.0,js,243179765.74535856
17.0,js,246388942.41795048
18.0,js,244820972.89845574
19.0,js,244556892.57519192
20.0,js,246806950.04675466
21.0,js,243360699.250459
22.0,js,244466528.19282374
23.0,js,244091673.52411345
24.0,js,243553079.1370595
25.0,js,247092819.625225
26.0,js,253720296.42236274
27.0,js,311754951.3438975
28.0,js,313061998.0624932
29.0,js,310301959.68035436
