ts_sec,language,tp
1.0,python,262277399.44140828
2.0,python,289597834.2367156
3.0,python,287713789.5580959
4.0,python,305997815.6863407
5.0,python,299866880.2464415
6.0,python,297924161.255952
7.0,python,160918316.31421524
8.0,python,307126048.59848183
9.0,python,302138950.7577921
10.0,python,300742622.6502589
11.0,python,305192042.4021363
12.0,python,309291090.0375219
13.0,python,302616096.5800389
14.0,python,305067018.91613686
15.0,python,310288827.8435085
16.0,python,304405406.61737454
17.0,python,305324725.8805658
18.0,python,310705665.17616636
19.0,python,314318436.9306515
20.0,python,310757604.3185802
21.0,python,313495409.08919466
22.0,python,302648690.80403674
23.0,python,315636055.0781853
24.0,python,312369754.84760857
25.0,python,317004890.9605397
26.0,python,314859501.90961415
27.0,python,316879552.3222774
28.0,python,315998099.07504624
29.0,python,311721080.8669625
