ts_sec,language,tp
0.0,rel,258142137.57646394
1.0,rel,285152013.52864367
2.0,rel,282197644.3252713
3.0,rel,284145208.27442133
4.0,rel,295149127.9716054
5.0,rel,297161382.8367987
6.0,rel,296007258.34678924
7.0,rel,292786715.88963073
8.0,rel,295376688.8278249
9.0,rel,290773698.86671525
10.0,rel,292923402.10469633
11.0,rel,297052694.0065134
12.0,rel,295365251.26845485
13.0,rel,295857333.5470401
14.0,rel,293422510.1688227
15.0,rel,293129061.81078255
16.0,rel,294003817.644728
17.0,rel,284316863.90019107
18.0,rel,294659457.2083116
19.0,rel,290716222.128288
20.0,rel,293288814.2311628
21.0,rel,286419844.0146779
22.0,rel,293397456.5536046
23.0,rel,290067247.8885343
24.0,rel,294826810.71223915
25.0,rel,294358403.6383105
26.0,rel,290343675.1395303
27.0,rel,292905778.32811254
28.0,rel,292603979.9164619
29.0,rel,293383784.6855361
